Timestamp,Target_X,Actual_X,Error,PWM_Command,Kp,Ki,Kd
9.895,3.500,3.462,0.060,0.030,0.500,0.000,0.000
9.994,3.500,3.464,0.057,0.028,0.500,0.000,0.000
10.094,3.500,3.465,0.054,0.027,0.500,0.000,0.000
10.194,3.500,3.467,0.051,0.026,0.500,0.000,0.000
10.294,3.500,3.469,0.049,0.024,0.500,0.000,0.000
10.394,3.500,3.470,0.046,0.023,0.500,0.000,0.000
10.494,3.500,3.472,0.044,0.022,0.500,0.000,0.000
10.594,3.500,3.473,0.041,0.021,0.500,0.000,0.000
10.695,3.500,3.475,0.039,0.020,0.500,0.000,0.000
10.794,3.500,3.476,0.037,0.019,0.500,0.000,0.000
10.895,3.500,3.477,0.035,0.018,0.500,0.000,0.000
10.995,3.500,3.478,0.034,0.017,0.500,0.000,0.000
11.094,3.500,3.479,0.032,0.016,0.500,0.000,0.000
11.194,3.500,3.480,0.030,0.015,0.500,0.000,0.000
11.294,3.500,3.481,0.029,0.014,0.500,0.000,0.000
11.395,3.500,3.482,0.027,0.014,0.500,0.000,0.000
11.495,3.500,3.483,0.026,0.013,0.500,0.000,0.000
11.594,3.500,3.484,0.025,0.012,0.500,0.000,0.000
11.694,3.500,3.485,0.023,0.012,0.500,0.000,0.000
11.794,3.500,3.486,0.022,0.011,0.500,0.000,0.000
11.894,3.500,3.486,0.021,0.011,0.500,0.000,0.000
11.994,3.500,3.487,0.020,0.010,0.500,0.000,0.000
