Timestamp,Target_X,Actual_X,Error,PWM_Command,Kp,Ki,Kd
0.016,5.388,-0.005,5.393,1.000,0.500,0.000,0.000
0.115,5.388,-0.005,5.393,1.000,0.500,0.000,0.000
0.215,5.388,-0.001,5.389,1.000,0.500,0.000,0.000
0.315,5.388,0.013,5.375,1.000,0.500,0.000,0.000
0.415,5.388,0.037,5.352,1.000,0.500,0.000,0.000
0.515,5.388,0.069,5.319,1.000,0.500,0.000,0.000
0.615,5.388,0.112,5.277,1.000,0.500,0.000,0.000
0.715,5.388,0.163,5.225,1.000,0.500,0.000,0.000
0.815,5.388,0.224,5.165,1.000,0.500,0.000,0.000
0.916,5.388,0.295,5.094,1.000,0.500,0.000,0.000
1.015,5.388,0.375,5.014,1.000,0.500,0.000,0.000
1.115,5.388,0.462,4.955,1.000,0.500,0.000,0.000
1.215,5.388,0.555,4.967,1.000,0.500,0.000,0.000
1.315,5.388,0.651,5.075,1.000,0.500,0.000,0.000
1.416,5.388,0.751,5.225,1.000,0.500,0.000,0.000
1.515,5.388,0.850,5.337,1.000,0.500,0.000,0.000
1.616,5.388,0.948,5.438,1.000,0.500,0.000,0.000
1.715,5.388,1.046,5.526,1.000,0.500,0.000,0.000
1.815,5.388,1.142,5.599,1.000,0.500,0.000,0.000
1.915,5.388,1.237,5.659,1.000,0.500,0.000,0.000
2.015,5.388,1.330,5.704,1.000,0.500,0.000,0.000
2.116,5.388,1.422,5.735,1.000,0.500,0.000,0.000
2.215,5.388,1.510,5.751,1.000,0.500,0.000,0.000
2.315,5.388,1.597,5.754,1.000,0.500,0.000,0.000
2.415,5.388,1.681,5.743,1.000,0.500,0.000,0.000
2.515,5.388,1.762,5.717,1.000,0.500,0.000,0.000
2.615,5.388,1.840,5.677,1.000,0.500,0.000,0.000
2.715,5.388,1.915,5.623,1.000,0.500,0.000,0.000
2.815,5.388,1.987,5.556,1.000,0.500,0.000,0.000
2.915,5.388,2.055,5.475,1.000,0.500,0.000,0.000
3.015,5.388,2.118,5.381,1.000,0.500,0.000,0.000
3.115,5.388,2.178,5.276,1.000,0.500,0.000,0.000
3.216,5.388,2.235,5.166,1.000,0.500,0.000,0.000
3.315,5.388,2.290,5.066,1.000,0.500,0.000,0.000
3.415,5.388,2.345,4.973,1.000,0.500,0.000,0.000
3.515,5.388,2.403,4.881,1.000,0.500,0.000,0.000
3.615,5.388,2.464,4.779,1.000,0.500,0.000,0.000
3.715,5.388,2.529,4.672,1.000,0.500,0.000,0.000
3.815,5.388,2.595,4.572,1.000,0.500,0.000,0.000
3.915,5.388,2.661,4.478,1.000,0.500,0.000,0.000
4.015,5.388,2.725,4.382,1.000,0.500,0.000,0.000
4.116,5.388,2.785,4.280,1.000,0.500,0.000,0.000
4.215,5.388,2.844,4.180,1.000,0.500,0.000,0.000
4.315,5.388,2.903,4.080,1.000,0.500,0.000,0.000
4.415,5.388,2.961,3.980,1.000,0.500,0.000,0.000
4.515,5.388,3.020,3.881,1.000,0.500,0.000,0.000
4.615,5.388,3.079,3.781,1.000,0.500,0.000,0.000
4.716,5.388,3.138,3.681,1.000,0.500,0.000,0.000
4.815,5.388,3.197,3.581,1.000,0.500,0.000,0.000
4.915,5.388,3.256,3.481,1.000,0.500,0.000,0.000
5.015,5.388,3.315,3.381,1.000,0.500,0.000,0.000
5.115,5.388,3.374,3.281,1.000,0.500,0.000,0.000
5.215,5.388,3.433,3.181,1.000,0.500,0.000,0.000
5.316,5.388,3.493,3.081,1.000,0.500,0.000,0.000
5.415,5.388,3.552,2.981,1.000,0.500,0.000,0.000
5.515,5.388,3.612,2.882,1.000,0.500,0.000,0.000
5.615,5.388,3.671,2.782,1.000,0.500,0.000,0.000
5.715,5.388,3.731,2.682,1.000,0.500,0.000,0.000
5.815,5.388,3.791,2.582,1.000,0.500,0.000,0.000
5.915,5.388,3.850,2.482,1.000,0.500,0.000,0.000
6.015,5.388,3.910,2.382,1.000,0.500,0.000,0.000
6.115,5.388,3.970,2.282,1.000,0.500,0.000,0.000
6.215,5.388,4.030,2.182,1.000,0.500,0.000,0.000
6.315,5.388,4.090,2.082,1.000,0.500,0.000,0.000
6.416,5.388,4.150,1.982,0.991,0.500,0.000,0.000
6.515,5.388,4.211,1.882,0.941,0.500,0.000,0.000
6.615,5.388,4.270,1.783,0.892,0.500,0.000,0.000
6.716,5.388,4.328,1.688,0.844,0.500,0.000,0.000
6.815,5.388,4.383,1.598,0.799,0.500,0.000,0.000
6.915,5.388,4.434,1.512,0.756,0.500,0.000,0.000
7.015,5.388,4.483,1.432,0.716,0.500,0.000,0.000
7.115,5.388,4.530,1.356,0.678,0.500,0.000,0.000
7.215,5.388,4.574,1.283,0.642,0.500,0.000,0.000
7.315,5.388,4.615,1.215,0.607,0.500,0.000,0.000
7.415,5.388,4.655,1.150,0.575,0.500,0.000,0.000
7.515,5.388,4.692,1.089,0.545,0.500,0.000,0.000
7.615,5.388,4.728,1.031,0.516,0.500,0.000,0.000
7.715,5.388,4.761,0.977,0.488,0.500,0.000,0.000
7.815,5.388,4.793,0.925,0.462,0.500,0.000,0.000
7.915,5.388,4.823,0.876,0.438,0.500,0.000,0.000
8.015,5.388,4.852,0.829,0.415,0.500,0.000,0.000
8.115,5.388,4.879,0.785,0.393,0.500,0.000,0.000
8.216,5.388,4.904,0.744,0.372,0.500,0.000,0.000
8.315,5.388,4.929,0.705,0.352,0.500,0.000,0.000
8.415,5.388,4.952,0.667,0.334,0.500,0.000,0.000
8.515,5.388,4.974,0.632,0.316,0.500,0.000,0.000
8.616,5.388,4.995,0.598,0.299,0.500,0.000,0.000
8.715,5.388,5.014,0.567,0.283,0.500,0.000,0.000
8.815,5.388,5.033,0.537,0.268,0.500,0.000,0.000
8.916,5.388,5.051,0.509,0.254,0.500,0.000,0.000
9.015,5.388,5.068,0.482,0.241,0.500,0.000,0.000
9.115,5.388,5.084,0.456,0.228,0.500,0.000,0.000
9.215,5.388,5.100,0.431,0.216,0.500,0.000,0.000
9.315,5.388,5.116,0.408,0.204,0.500,0.000,0.000
9.415,5.388,5.131,0.385,0.192,0.500,0.000,0.000
9.515,5.388,5.146,0.364,0.182,0.500,0.000,0.000
9.616,5.388,5.159,0.345,0.173,0.500,0.000,0.000
9.716,5.388,5.172,0.327,0.164,0.500,0.000,0.000
9.816,5.388,5.184,0.310,0.155,0.500,0.000,0.000
9.915,5.388,5.195,0.294,0.147,0.500,0.000,0.000
10.015,5.388,5.206,0.278,0.139,0.500,0.000,0.000
10.115,5.388,5.218,0.260,0.130,0.500,0.000,0.000
10.215,5.388,5.230,0.243,0.121,0.500,0.000,0.000
10.315,5.388,5.238,0.230,0.115,0.500,0.000,0.000
10.416,5.388,5.246,0.218,0.109,0.500,0.000,0.000
10.515,5.388,5.254,0.206,0.103,0.500,0.000,0.000
10.615,5.388,5.261,0.195,0.098,0.500,0.000,0.000
10.715,5.388,5.268,0.185,0.093,0.500,0.000,0.000
10.815,5.388,5.274,0.176,0.088,0.500,0.000,0.000
10.916,5.388,5.280,0.166,0.083,0.500,0.000,0.000
11.016,5.388,5.286,0.158,0.079,0.500,0.000,0.000
11.115,5.388,5.292,0.149,0.075,0.500,0.000,0.000
11.215,5.388,5.297,0.142,0.071,0.500,0.000,0.000
11.315,5.388,5.302,0.134,0.067,0.500,0.000,0.000
11.416,5.388,5.306,0.127,0.064,0.500,0.000,0.000
11.515,5.388,5.311,0.121,0.060,0.500,0.000,0.000
11.615,5.388,5.315,0.114,0.057,0.500,0.000,0.000
11.715,5.388,5.319,0.108,0.054,0.500,0.000,0.000
11.816,5.388,5.322,0.103,0.051,0.500,0.000,0.000
11.915,5.388,5.326,0.097,0.049,0.500,0.000,0.000
12.015,5.388,5.329,0.092,0.046,0.500,0.000,0.000
12.116,5.388,5.333,0.087,0.044,0.500,0.000,0.000
12.215,5.388,5.335,0.083,0.041,0.500,0.000,0.000
12.315,5.388,5.338,0.078,0.039,0.500,0.000,0.000
12.415,5.388,5.341,0.074,0.037,0.500,0.000,0.000
12.515,5.388,5.344,0.070,0.035,0.500,0.000,0.000
12.616,5.388,5.346,0.067,0.033,0.500,0.000,0.000
12.715,5.388,5.348,0.063,0.032,0.500,0.000,0.000
12.815,5.388,5.350,0.060,0.030,0.500,0.000,0.000
12.915,5.388,5.352,0.057,0.028,0.500,0.000,0.000
13.015,5.388,5.354,0.054,0.027,0.500,0.000,0.000
13.115,5.388,5.356,0.051,0.026,0.500,0.000,0.000
13.215,5.388,5.358,0.048,0.024,0.500,0.000,0.000
13.315,5.388,5.360,0.046,0.023,0.500,0.000,0.000
13.416,5.388,5.361,0.043,0.022,0.500,0.000,0.000
13.515,5.388,5.363,0.041,0.021,0.500,0.000,0.000
13.615,5.388,5.364,0.039,0.019,0.500,0.000,0.000
13.715,5.388,5.365,0.037,0.018,0.500,0.000,0.000
13.815,5.388,5.367,0.035,0.018,0.500,0.000,0.000
13.915,5.388,5.368,0.033,0.017,0.500,0.000,0.000
14.015,5.388,5.369,0.031,0.016,0.500,0.000,0.000
14.115,5.388,5.370,0.030,0.015,0.500,0.000,0.000
14.215,5.388,5.371,0.028,0.014,0.500,0.000,0.000
14.315,5.388,5.372,0.027,0.013,0.500,0.000,0.000
14.415,5.388,5.373,0.025,0.013,0.500,0.000,0.000
14.515,5.388,5.374,0.024,0.012,0.500,0.000,0.000
14.615,5.388,5.374,0.023,0.011,0.500,0.000,0.000
14.716,5.388,5.375,0.022,0.011,0.500,0.000,0.000
14.815,5.388,5.376,0.020,0.010,0.500,0.000,0.000
