Timestamp,Target_X,Actual_X,Error,PWM_Command,Kp,Ki,Kd
0.021,-7.497,-7.914,-11.608,-1.000,0.500,0.000,0.000
0.120,-7.497,-7.913,-11.605,-1.000,0.500,0.000,0.000
0.220,-7.497,-7.905,-11.594,-1.000,0.500,0.000,0.000
0.320,-7.497,-7.890,-11.572,-1.000,0.500,0.000,0.000
0.420,-7.497,-7.868,-11.541,-1.000,0.500,0.000,0.000
0.520,-7.497,-7.838,-11.499,-1.000,0.500,0.000,0.000
0.620,-7.497,-7.802,-11.447,-1.000,0.500,0.000,0.000
0.720,-7.497,-7.758,-11.386,-1.000,0.500,0.000,0.000
0.821,-7.497,-7.707,-11.314,-1.000,0.500,0.000,0.000
0.920,-7.497,-7.649,-11.194,-1.000,0.500,0.000,0.000
1.021,-7.497,-7.587,-10.880,-1.000,0.500,0.000,0.000
1.120,-7.497,-7.520,-10.346,-1.000,0.500,0.000,0.000
1.221,-7.497,-7.447,-9.583,-1.000,0.500,0.000,0.000
1.321,-7.497,-7.369,-8.638,-1.000,0.500,0.000,0.000
1.420,-7.497,-7.285,-7.658,-1.000,0.500,0.000,0.000
1.520,-7.497,-7.199,-6.670,-1.000,0.500,0.000,0.000
1.620,-7.497,-7.109,-5.686,-1.000,0.500,0.000,0.000
1.720,-7.497,-7.018,-4.713,-1.000,0.500,0.000,0.000
1.821,-7.497,-6.924,-3.752,-1.000,0.500,0.000,0.000
1.920,-7.497,-6.828,-2.809,-1.000,0.500,0.000,0.000
2.020,-7.497,-6.730,-1.887,-0.943,0.500,0.000,0.000
2.120,-7.497,-6.632,-0.882,-0.441,0.500,0.000,0.000
2.220,-7.497,-6.538,0.042,0.021,0.500,0.000,0.000
2.321,-7.497,-6.451,0.901,0.450,0.500,0.000,0.000
2.421,-7.497,-6.374,1.760,0.880,0.500,0.000,0.000
2.520,-7.497,-6.306,2.595,1.000,0.500,0.000,0.000
2.621,-7.497,-6.248,3.447,1.000,0.500,0.000,0.000
2.720,-7.497,-6.199,4.278,1.000,0.500,0.000,0.000
2.820,-7.497,-6.159,5.094,1.000,0.500,0.000,0.000
2.920,-7.497,-6.129,5.869,1.000,0.500,0.000,0.000
3.021,-7.497,-6.109,6.626,1.000,0.500,0.000,0.000
3.120,-7.497,-6.097,7.353,1.000,0.500,0.000,0.000
3.220,-7.497,-6.096,8.050,1.000,0.500,0.000,0.000
3.321,-7.497,-6.103,8.714,1.000,0.500,0.000,0.000
3.421,-7.497,-6.120,9.342,1.000,0.500,0.000,0.000
3.520,-7.497,-6.147,9.934,1.000,0.500,0.000,0.000
3.621,-7.497,-6.182,10.497,1.000,0.500,0.000,0.000
3.720,-7.497,-6.224,11.023,1.000,0.500,0.000,0.000
3.821,-7.497,-6.272,11.512,1.000,0.500,0.000,0.000
